"1033036","宁德时代在互动平台表示，公司专注于新能源汽车动力电池系统、储能系统的研发、生产和销售，致力于为全球新能源应用提供一流解决方案，暂未考虑进入新能源汽车生产领域。此外，宁德时代再次重申，公司暂未与特斯拉合作。","2018-08-24 14:04:37","2018-08-24 14:04:49","['公司', 'A股']"
"1033037","刘昆表示，积极财政政策不是“大水漫灌”的强刺激，也不是要突破债务风险底限的安排，更不是要政府大包大揽。就目前而言，财政政策要更加积极，增强政策前瞻性、灵活性和有效性，要在结构调整方面发挥更多作用，包括减税降费、保持财政支出的强度。（路透）","2018-08-24 14:07:30","2018-08-24 14:07:36","['宏观']"
"1033038","德国联邦金融监管局：银行正在放宽对企业的借贷标准。（德国经济周刊）","2018-08-24 14:07:55","2018-08-24 14:08:01","['行业']"
"1033039","交通运输部召开例行发布会，公布了《2017年全国收费公路统计公报》。交通部公路局副局长孙永红介绍，2017年度，全国收费公路通行费收入5130.2亿元，支出总额9156.7亿元，通行费收支缺口4026.5亿元，比上年减少116.8亿元，下降2.8%，但收支缺口仍然巨大。截至2017年末，收费公路里程16.37万公里，与上年末相比减少7356公里。收费公路主线收费站1338个，减少237个，相较2016年下降15%。2017年度，全国收费公路共减免车辆通行费821.7亿元，比上年增加132.5亿元，增长19.2%。","2018-08-24 14:10:36","2018-08-24 14:10:43","['宏观']"
"1033040","港元兑美元跌至7.8500，触及弱方兑换保证水平。","2018-08-24 14:11:22","2018-08-24 14:11:32","['市场']"
"1033041","8月24日，在中国国际智能产业博览会期间，长安汽车举行2018智能化战略发布会，公布长安汽车“北斗天枢”智能化战略。按照长安方面计划，到2020年，长安汽车不再生产非联网新车；到2025年，车载功能实现100%语音控制，并上市L4级智能驾驶车型。","2018-08-24 14:18:39","2018-08-24 14:18:44","['公司']"
"1033042","调查发现，8月23日，北京新发地市场的西红柿价格约2-2.7元每斤，而22日仅需要2元。事实上，寿光正是西红柿的主产区之一。主要来自河北和山东的黄瓜，也像坐上火箭一样飙涨。一周之前1.7-2.5元的黄瓜，平均涨了1元，涨幅超过40%，最高达到58%。一位商户透露，“山东那儿的蔬菜大区都来这儿拉菜了，就上午的时候，十一点多，滨州、济南、沂南，包括寿光，都过来抢菜了，跟不要钱一样，多少钱都要。”（华夏时报）","2018-08-24 14:20:25","2018-08-24 14:20:40","['其他']"
"1033043","澳大利亚新总理莫里森：我相信一个“机会均等”的澳大利亚。就任后的先决任务就是处理旱灾地区的需要。","2018-08-24 14:23:11","2018-08-24 14:24:08","['观点']"
"1033044","武汉东湖高新集团股份有限公司23日与重庆两江新区签署协议，双方将深度合作共同建设两江半导体产业园项目，打造重庆半导体产业创“芯”高地。据东湖高新集团董事长杨涛介绍，两江半导体产业园未来将被打造成一个以半导体产业为核心，IC设计为重点，辐射汽车电子、人工智能、物联网、智能终端等产业，承载公共服务平台、产业创新孵化、研发设计总部、产业应用延伸等功能的特色园区。（新华社）","2018-08-24 14:25:57","2018-08-24 14:26:04","['行业']"
"1033045","24日午后，猪肉股华统股份(002840)直线涨停。公司今日在互动平台澄清，浙江省温州市乐清市发生的非洲猪瘟疫情和公司没有关系。未发现对公司有影响情况。昨日，受前述疫情影响，华统股份盘中跌逾6%，收跌近4%。","2018-08-24 14:28:20","2018-08-24 14:28:25","['公司', 'A股']"
"1033046","东湖高新直线封板，消息面上，武汉东湖高新集团落子重庆，打造尖端产业""芯""高地。","2018-08-24 14:28:39","2018-08-24 14:28:46","['公司', 'A股']"
"1033047","韩国首尔综指数收涨0.5%。","2018-08-24 14:30:52","2018-08-24 14:30:57","['市场']"
"1033048","交通运输部公路局副局长孙永红今天透露，公路建设资金超过八成都是依靠举借债务和社会资本的投资。目前，车辆通行费收入的用途，主要是偿还收费公路债务和社会资本收回投资并获得合理回报。此外，还需要用收费维持收费公路的正常养护管理，并缴纳相关的税费。（中新网） 注：2017年度全国收费公路通行费收支缺口为4026.5亿元，比上年减少116.8亿元，下降2.8%，全国收费公路通行费收支缺口仍依然较大。","2018-08-24 14:44:55","2018-08-24 14:45:01","['其他']"
