"1043805"," 海得控制公告，公司5月29日曾披露，董事赵大砥因个人资金需求，计划披露之日起15个交易日后的6个月内减持不超120万股，占公司总股本0.49%。鉴于近期市场环境发生较大变化，公司股票价格发生了较大的波动，原定减持计划已无法实施，赵大砥决定终止本次减持计划。","2018-09-13 15:55:25","2018-09-13 15:55:38","['公司', 'A股']"
"1043806"," 恒瑞医药公告，国家食药监局药品审评中心近日发布《拟纳入优先审评程序药品注册申请的公示（第三十二批）》，公司的格隆溴铵注射液进入该名单。格隆溴铵注射液是一种抗胆碱能药物。截至目前，公司在该研发项目上已投入研发费用约为1135万元。","2018-09-13 15:57:31","2018-09-13 15:57:40","['公司', 'A股']"
"1043807","在近日召开的“2018年度亚金协·东京主论坛”上，中国银行保险监督管理委员会副主席黄洪表示，截至6月末保险业资金运用余额15.7万亿元，上半年保险业保费收入2.2万亿元，预计利润1661亿元，同比增长43%。（中国证券网）","2018-09-13 15:58:26","2018-09-13 15:58:35","['行业', '数据', 'A股']"
"1043809"," 乾景园林公告，公司成为北京市海淀区东升科技园二期周边绿地建设工程二标段（施工）项目的第一中标候选人，投标报价4559.98万元。","2018-09-13 16:00:16","2018-09-13 16:00:36","['公司', 'A股']"
"1043810","国际能源署（IEA）警告称，随着伊朗、委内瑞拉减产，油价可能上涨。","2018-09-13 16:00:43","2018-09-13 16:03:09","['市场', '焦点']"
"1043811","IEA月报：2019年全球原油需求增速预期为140万桶/日，此前为149万桶/日。 预计2018年第四季度全球原油需求为1.0029亿桶/日，2019年第一季度为9927万桶/日。8月欧佩克产量增至9个月高位，为3263万桶/日，主要受到利比亚和伊拉克产量影响。 4月以来的布油价格预期区间70-80美元/桶或需调整。","2018-09-13 16:01:01","2018-09-13 16:04:11","['数据', '焦点']"
"1043812","港股尾盘发力，恒指涨2.5%收复27000点关口，势创两年半最大单日涨幅。连续四日回购，腾讯控股大涨近5%。","2018-09-13 16:02:08","2018-09-13 16:02:15","['市场']"
"1043813","IEA月报：8月伊朗石油产量环比减少15万桶/日至363万桶/日，为2016年7月以来最低水平。","2018-09-13 16:04:20","2018-09-13 16:04:25","['数据', '市场']"
"1043814","LME锌库存减少2.6%，为2017以来最大降幅。","2018-09-13 16:04:48","2018-09-13 16:04:48","['市场']"
"1043815","太极实业公告，近日，控股子公司十一科技与青岛芯恩签订了《EPC总承包工程合同》，合同金额为17.98亿元。太极实业表示，该合同的签订体现了子公司十一科技在集成电路产业领域的EPC领先地位，合同的履行将对公司的经营业绩产生积极影响。","2018-09-13 16:06:32","2018-09-13 16:06:53","['公司', 'A股']"
"1043816"," 9月13日，泰豪科技在互动平台表示，公司持有30%股权的江西国科未出现在最近一期证监会公布的待审名单中，主要原因是江西国科公司IPO的中介机构因其它项目在配合证监会的专项调查。目前，江西国科IPO事项处于中止审查状态，公司的生产经营状况正常，待上述中介机构专项调查事项结束后，会进入IPO审核正常程序。","2018-09-13 16:07:03","2018-09-13 16:07:11","['公司', 'A股']"
"1043817","“市场对于今年我国的玉米产量存在分歧，一些人认为同比会下降，但根据我们的调查，今年我国玉米产量将同比略增，达到2.16亿吨。”国家粮油信息中心副主任王晓辉12日说。记者在大会上了解到，预计今年国家玉米临储拍卖将达到8500万吨以上，创历年之最。王晓辉认为，国家玉米临储大量拍卖，玉米市场的供应现在还比较充分。进入10月份之后，越来越多东北新玉米进入市场。（新华社）","2018-09-13 16:09:39","2018-09-13 16:09:39","['宏观']"
"1043818","恒指收涨2.54%收复27000点关口，创两年半最大单日涨幅。","2018-09-13 16:09:44","2018-09-13 16:09:44","['宏观', '焦点']"
"1043819","WTI原油短线小幅走低，目前跌1%报69.67美元。","2018-09-13 16:10:45","2018-09-13 16:11:01","['市场']"
"1043820","浪潮信息近日在机构调研时表示，目前，公司出口美国业务占公司总营收占比不高，公司核心部件采取全球采购模式，在美国设有服务器工厂，能满足本地化营销、运营、交付需求。拓展美欧市场，是公司未来战略布局的关键，公司将密切关注未来事态发展，及时分析对本行业及公司可能带来的影响，采取措施积极应对。","2018-09-13 16:11:40","2018-09-13 16:11:44","['公司', 'A股']"
"1043821","互联互通南向6.3亿元净流出港股。","2018-09-13 16:12:17","2018-09-13 16:12:24","['市场']"
"1043822","迪生力9月13日晚间公告，拟在香港新设立全资子公司广东迪生力汽配（香港）有限公司。香港子公司的注册资本为300万美元，公司持股100%。经营范围为汽车零配件的销售，进出口贸易。","2018-09-13 16:13:19","2018-09-13 16:13:19","['公司', 'A股']"
